"variable_id","membership","cluster","cluster_raw"
"protein_530",0.958654803275072,3,3
"protein_537",0.880871308324739,3,3
"protein_545",0.995328297906218,3,3
"protein_579",0.854714720836835,3,3
"protein_629",0.87831661970557,3,3
"protein_632",0.869077972748159,3,3
"protein_673",0.998579249019734,3,3
"protein_731",0.996876506046064,3,3
"protein_733",0.976193067207539,3,3
"protein_738",0.834240860241695,3,3
"protein_750",0.979461910203095,3,3
"protein_753",0.979639030209989,3,3
"protein_810",0.987428719926746,3,3
"protein_823",0.956640025002273,3,3
"protein_855",0.987278998045621,3,3
"protein_858",0.996822999906165,3,3
"protein_888",0.999589049310024,3,3
"protein_897",0.945192232534739,3,3
"protein_934",0.982312216783003,3,3
"protein_945",0.992497136925139,3,3
"protein_1041",0.822798119444935,3,3
"protein_1051",0.896034728730079,3,3
"protein_1054",0.998162380357061,3,3
"protein_1077",0.958322164012593,3,3
"protein_1086",0.906156417263717,3,3
"protein_1146",0.993009056403848,3,3
"protein_1150",0.888459085243878,3,3
"protein_1157",0.998684088952277,3,3
"protein_1178",0.999943708059571,3,3
"protein_1191",0.999336438044821,3,3
"protein_1262",0.97363029693595,3,3
"protein_1281",0.999510654420546,3,3
"protein_1332",0.980590011563852,3,3
"protein_1336",0.808264767372125,3,3
"protein_1350",0.958544811193214,3,3
"protein_1361",0.991958314959964,3,3
"protein_1365",0.929300419529955,3,3
"protein_1387",0.999931316509739,3,3
"protein_1403",0.844852412582716,3,3
"protein_1485",0.999899088197737,3,3
"protein_1487",0.957590922500966,3,3
"protein_1501",0.993818839601519,3,3
"protein_1526",0.95270259390987,3,3
"protein_1547",0.878510285348217,3,3
"protein_1553",0.988810592155931,3,3
"protein_1596",0.99490169264734,3,3
"protein_1623",0.999976373032745,3,3
"protein_1630",0.955397799924531,3,3
"protein_1642",0.918849441568485,3,3
"protein_1645",0.876590185327558,3,3
"protein_1654",0.992742933334984,3,3
"protein_1671",0.999778901634227,3,3
"protein_1677",0.999601623428168,3,3
"protein_1760",0.999236621977975,3,3
"protein_1840",0.98481188264423,3,3
"protein_1847",0.98190905175978,3,3
"protein_1903",0.879220188052742,3,3
"protein_1909",0.956986224668515,3,3
"protein_1940",0.817262448554314,3,3
