"variable_id","cor_male","p_male","cor_female","p_female","p_female_fdr","p_male_fdr"
"protein_937",0.39402143916776,0.000133229868952408,0.276712078162485,0.000894935019161693,0.00909309623096415,0.00206650150235569
"protein_966",0.380445474164918,0.000235359603944841,0.273890807542385,0.00101477122766162,0.0101013521697687,0.00336072949030946
"protein_976",0.323194652171958,0.00200651272934678,0.436154850124381,6.43951174052688e-08,2.35302158816892e-06,0.0181325873836361
"protein_1190",0.322026595982425,0.002087688646514,0.415979652892077,2.89821030364677e-07,9.41998409743311e-06,0.0186422632417157
"protein_1219",0.483163203371523,1.62048599215441e-06,0.226450626552022,0.00693007370853916,0.0453499706644448,5.81299944624658e-05
"protein_1512",0.314776074989168,0.00266123506404025,0.258721676378448,0.00195014166503271,0.0167729289698647,0.0221443364664056
"protein_1519",0.289289321688071,0.0059663683534508,0.241023600940827,0.00398824029715539,0.0296997692002091,0.0407730063356126
"protein_1539",0.600763605925904,4.849709700127e-10,0.556091604717528,8.1509194247217e-13,7.4924779649434e-11,4.45794408841361e-08
"protein_1540",0.546847253683321,2.95044842392937e-08,0.556346049771459,7.91854806668928e-13,7.39441559941795e-11,1.90741627230511e-06
"protein_1568",0.517725180028821,2.03985393563833e-07,0.408460542310598,4.95334818398159e-07,1.51773684199811e-05,9.6777908898067e-06
"protein_1605",0.316958774183649,0.00247524505512466,0.57256174648759,1.19031323076888e-13,1.27320231574787e-11,0.021140894745452
"protein_1620",0.486663993453183,1.32710920650794e-06,0.544409177628684,2.99667572532168e-12,2.59256519000992e-10,4.81937250733718e-05
"protein_1644",0.286732895166778,0.00644483482374046,0.238824614959761,0.00434407412110923,0.0317665074394069,0.0429388032480919
"protein_1667",0.462932727011201,4.92663346673246e-06,0.320293113722321,0.000107979034608604,0.0015920818561464,0.000148632741973267
"protein_1684",0.338862207470469,0.0011609715531391,0.234009857840857,0.00522434467541671,0.0365021611941526,0.0121746802978918
"protein_1790",0.440296390140163,1.57632590079745e-05,0.457986775709315,1.12832582674168e-08,4.91699321386763e-07,0.00038006251124555
"protein_1853",0.331651287545935,0.00149872073384775,0.333367988078894,5.3574464158842e-05,0.000887826965201316,0.0145494621736408
"protein_1874",0.45614949784959,7.04205559419683e-06,0.294386250292112,0.000395033801753425,0.00467524180106289,0.000198222072060574
"protein_1896",0.341845762694149,0.00104269927274268,0.439207611267996,5.0845115344312e-08,1.91744752288838e-06,0.0111328490409169
"protein_1923",0.350628449186243,0.000755294272246456,0.242745383539397,0.00372814147013164,0.0281830888237023,0.00865158141532831
"protein_1938",0.367757198706586,0.000391913507554564,0.370008271490752,6.30718443040677e-06,0.000147829346629813,0.00506731245042527
"protein_1971",0.455977773440587,7.10533233243235e-06,0.31424234195604,0.000147764724322702,0.00206484530449039,0.000199050810055712
"protein_1972",0.514059835516063,2.56929732289875e-07,0.48616025153878,9.87448662637686e-10,5.32772286876126e-08,1.17171908144289e-05
"protein_2030",0.654462837117473,3.50638384581946e-12,0.312090763941133,0.000164937006973254,0.00226182846625561,4.55533911999521e-10
"protein_2036",0.446627420836497,1.14810608381132e-05,0.429667157982276,1.05580447168076e-07,3.67483450307311e-06,0.000291133969442327
"protein_2130",0.539781490954012,4.7968675023402e-08,0.364490622355995,8.85499541296919e-06,0.000194937759873838,2.87958893023137e-06
"protein_2249",0.428619279153686,2.78274783523909e-05,0.291810171489871,0.000446520062189651,0.00517101875169629,0.000584675196953985
"protein_2256",0.454193185779845,7.79531010468121e-06,0.290676353658973,0.00047108754423666,0.00541388758783361,0.000215304269229294
"protein_2396",0.372587308775065,0.000323556078558836,0.438932434829588,5.1944473921369e-08,1.94642891770327e-06,0.00432609184127644
"protein_2397",0.403954390514275,8.647676303968e-05,0.486062952606819,9.96174597252657e-10,5.32772286876126e-08,0.00147524892748958
"protein_2464",0.313682853485547,0.00275902683660427,0.265749856242493,0.00144760708994306,0.0133304078354174,0.0227329900276512
"protein_2544",0.41851087984322,4.47643859081588e-05,0.374333086975374,4.81317250170319e-06,0.00011557507684702,0.000869138225404945
"protein_2551",0.293107492762543,0.00531026562835037,0.469240369074185,4.37832411102372e-09,2.09412038578476e-07,0.0377754446089302
"protein_2580",0.294725297570479,0.00505215396830704,0.405002404610922,6.31042801203144e-07,1.87496201993843e-05,0.0362019753904389
"protein_2593",0.609417242763834,2.33192718415031e-10,0.410041970747795,4.43009671422092e-07,1.38353151802251e-05,2.4067943200625e-08
"protein_2594",0.479704411438963,1.96972762789649e-06,0.326503190063728,7.77125386590485e-05,0.00122898619605157,6.73715560169479e-05
"protein_2600",0.331929132253105,0.00148421389350459,0.228612950863317,0.00639768296615947,0.0427214175821977,0.0144667579857248
"protein_2611",0.449698994406214,9.82197021601707e-06,0.290004092349976,0.000486236986255582,0.00553872249666265,0.000256811781248126
"protein_2627",0.396877425382982,0.000117824998116742,0.227269379582847,0.00672402442681893,0.0444965530967107,0.00188359908674128
